"","I","DISPATCH","UNIT_SCADA","X1","SETTLEMENTDATE","DUID","SCADAVALUE"
"176","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 14:35:00","LK_ECHO",0
"177","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 14:40:00","LK_ECHO",0
"178","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 14:45:00","LK_ECHO",0
"179","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 14:50:00","LK_ECHO",0
"180","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 14:55:00","LK_ECHO",0
"181","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 15:00:00","LK_ECHO",0
"182","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 15:05:00","LK_ECHO",0
"183","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 15:10:00","LK_ECHO",0
"184","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 15:15:00","LK_ECHO",0
"185","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 15:20:00","LK_ECHO",0
"186","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 15:25:00","LK_ECHO",0
"187","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 15:30:00","LK_ECHO",0
"188","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 15:35:00","LK_ECHO",0
"189","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 15:40:00","LK_ECHO",0
"190","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 15:45:00","LK_ECHO",0
"191","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 15:50:00","LK_ECHO",0
"192","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 15:55:00","LK_ECHO",0
"193","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 16:00:00","LK_ECHO",0
"194","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 16:05:00","LK_ECHO",0
"195","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 16:10:00","LK_ECHO",0
"196","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 16:15:00","LK_ECHO",0
"197","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 16:20:00","LK_ECHO",0
"198","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 16:25:00","LK_ECHO",0
"199","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 16:30:00","LK_ECHO",0
"200","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 16:35:00","LK_ECHO",0
"201","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 16:40:00","LK_ECHO",0
"202","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 16:45:00","LK_ECHO",0
"203","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 16:50:00","LK_ECHO",0
"204","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 16:55:00","LK_ECHO",0
"205","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 17:00:00","LK_ECHO",0
"206","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 17:05:00","LK_ECHO",0
"207","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 17:10:00","LK_ECHO",0
"208","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 17:15:00","LK_ECHO",0
"209","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 17:20:00","LK_ECHO",0
"210","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 17:25:00","LK_ECHO",0
"211","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 17:30:00","LK_ECHO",0
"212","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 17:35:00","LK_ECHO",0
"213","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 17:40:00","LK_ECHO",0
"214","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 17:45:00","LK_ECHO",0
"215","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 17:50:00","LK_ECHO",0
"216","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 17:55:00","LK_ECHO",0
"217","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 18:00:00","LK_ECHO",0
"218","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 18:05:00","LK_ECHO",0
"219","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 18:10:00","LK_ECHO",0
"220","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 18:15:00","LK_ECHO",0
"221","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 18:20:00","LK_ECHO",0
"222","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 18:25:00","LK_ECHO",0
"223","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 18:30:00","LK_ECHO",0
"224","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 18:35:00","LK_ECHO",0
"225","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 18:40:00","LK_ECHO",0
"226","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 18:45:00","LK_ECHO",0
"227","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 18:50:00","LK_ECHO",0
"228","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 18:55:00","LK_ECHO",0
"229","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 19:00:00","LK_ECHO",0
"230","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 19:05:00","LK_ECHO",0
"231","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 19:10:00","LK_ECHO",0
"232","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 19:15:00","LK_ECHO",0
"233","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 19:20:00","LK_ECHO",0
"234","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 19:25:00","LK_ECHO",0
"235","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 19:30:00","LK_ECHO",0
"236","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 19:35:00","LK_ECHO",0
"237","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 19:40:00","LK_ECHO",0
"238","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 19:45:00","LK_ECHO",0
"239","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 19:50:00","LK_ECHO",0
"240","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 19:55:00","LK_ECHO",0
"241","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 20:00:00","LK_ECHO",0
"242","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 20:05:00","LK_ECHO",0
"243","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 20:10:00","LK_ECHO",0
"244","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 20:15:00","LK_ECHO",0
"245","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 20:20:00","LK_ECHO",0
"246","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 20:25:00","LK_ECHO",0
"247","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 20:30:00","LK_ECHO",0
"248","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 20:35:00","LK_ECHO",0
